#abgabe.csv
#Veronika
#Zapodobnikova
#
group,number,duration,size
Maximumsuche,1,3677,0
Maximumsuche,2,934,1
Maximumsuche,3,730,2
Maximumsuche,4,818,3
Maximumsuche,5,737,4
Maximumsuche,6,786,5
Maximumsuche,7,811,6
Maximumsuche,8,830,7
Maximumsuche,9,1041,8
Maximumsuche,10,852,9
Maximumsuche,11,877,10
Maximumsuche,12,942,11
Maximumsuche,13,983,12
Maximumsuche,14,959,13
Maximumsuche,15,941,14
Maximumsuche,16,971,15
Maximumsuche,17,957,16
Maximumsuche,18,923,17
Maximumsuche,19,940,18
Maximumsuche,20,962,19
Maximumsuche,21,987,20
Maximumsuche,22,957,21
Maximumsuche,23,943,22
Maximumsuche,24,989,23
Maximumsuche,25,1094,24
Maximumsuche,26,1134,25
Maximumsuche,27,1065,26
Maximumsuche,28,1154,27
Maximumsuche,29,1035,28
Maximumsuche,30,1104,29
Maximumsuche,31,1099,30
Maximumsuche,32,1290,31
Maximumsuche,33,1339,32
Maximumsuche,34,1231,33
Maximumsuche,35,1143,34
Maximumsuche,36,1167,35
Maximumsuche,37,1280,36
Maximumsuche,38,1229,37
Maximumsuche,39,1209,38
Maximumsuche,40,1213,39
Maximumsuche,41,1263,40
Maximumsuche,42,1190,41
Maximumsuche,43,1239,42
Maximumsuche,44,1256,43
Maximumsuche,45,1302,44
Maximumsuche,46,1254,45
Maximumsuche,47,2401,46
Maximumsuche,48,1306,47
Maximumsuche,49,1365,48
Maximumsuche,50,1360,49
Maximumsuche,51,1311,50
Maximumsuche,52,1299,51
Maximumsuche,53,1339,52
Maximumsuche,54,1371,53
Maximumsuche,55,1428,54
Maximumsuche,56,2281,55
Maximumsuche,57,1396,56
Maximumsuche,58,1445,57
Maximumsuche,59,1411,58
Maximumsuche,60,1429,59
Maximumsuche,61,1414,60
Maximumsuche,62,1428,61
Maximumsuche,63,1482,62
Maximumsuche,64,1465,63
Maximumsuche,65,1453,64
Maximumsuche,66,2338,65
Maximumsuche,67,1494,66
Maximumsuche,68,1496,67
Maximumsuche,69,1544,68
Maximumsuche,70,1581,69
Maximumsuche,71,1520,70
Maximumsuche,72,1592,71
Maximumsuche,73,1543,72
Maximumsuche,74,1644,73
Maximumsuche,75,1537,74
Maximumsuche,76,1560,75
Maximumsuche,77,1585,76
Maximumsuche,78,1733,77
Maximumsuche,79,1650,78
Maximumsuche,80,2772,79
Maximumsuche,81,1669,80
Maximumsuche,82,1703,81
Maximumsuche,83,1731,82
Maximumsuche,84,1722,83
Maximumsuche,85,1718,84
Maximumsuche,86,1720,85
Maximumsuche,87,1733,86
Maximumsuche,88,1782,87
Maximumsuche,89,1843,88
Maximumsuche,90,1733,89
Maximumsuche,91,1776,90
Maximumsuche,92,1777,91
Maximumsuche,93,2696,92
Maximumsuche,94,1857,93
Maximumsuche,95,1821,94
Maximumsuche,96,1887,95
Maximumsuche,97,1854,96
Maximumsuche,98,1877,97
Maximumsuche,99,1893,98
Maximumsuche,100,1966,99
Maximumsuche,101,1949,100
Maximumsuche,102,4060,200
Maximumsuche,103,4339,300
Maximumsuche,104,5564,400
Maximumsuche,105,7778,500
Maximumsuche,106,7537,600
Maximumsuche,107,9749,700
Maximumsuche,108,11098,800
Maximumsuche,109,11920,900
Maximumsuche,110,13448,1000
Maximumsuche,111,14361,1100
Maximumsuche,112,15252,1200
Maximumsuche,113,16137,1300
Maximumsuche,114,17893,1400
Maximumsuche,115,19048,1500
Maximumsuche,116,20621,1600
Maximumsuche,117,24508,1700
Maximumsuche,118,22503,1800
Maximumsuche,119,23320,1900
Maximumsuche,120,24914,2000
Maximumsuche,121,26023,2100
Maximumsuche,122,25809,2200
Maximumsuche,123,5692,2300
Maximumsuche,124,5718,2400
Maximumsuche,125,6753,2500
Maximumsuche,126,6292,2600
Maximumsuche,127,6467,2700
Maximumsuche,128,8410,2800
Maximumsuche,129,7007,2900
Maximumsuche,130,7035,3000
Maximumsuche,131,8098,3100
Maximumsuche,132,7410,3200
Maximumsuche,133,8422,3300
Maximumsuche,134,7896,3400
Maximumsuche,135,8040,3500
Maximumsuche,136,15255,3600
Maximumsuche,137,8441,3700
Maximumsuche,138,9341,3800
Maximumsuche,139,8930,3900
Maximumsuche,140,10148,4000
Maximumsuche,141,9512,4100
Maximumsuche,142,11019,4200
Maximumsuche,143,10606,4300
Maximumsuche,144,11258,4400
Maximumsuche,145,12206,4500
Maximumsuche,146,11657,4600
Maximumsuche,147,10703,4700
Maximumsuche,148,12106,4800
Maximumsuche,149,12303,4900
Maximumsuche,150,11513,5000
Maximumsuche,151,19258,5100
Maximumsuche,152,11980,5200
Maximumsuche,153,58654,5300
Maximumsuche,154,23369,5400
Maximumsuche,155,35296,5500
Maximumsuche,156,12545,5600
Maximumsuche,157,34473,5700
Maximumsuche,158,13462,5800
Maximumsuche,159,34266,5900
Maximumsuche,160,13551,6000
Maximumsuche,161,33165,6100
Maximumsuche,162,14267,6200
Maximumsuche,163,34354,6300
Maximumsuche,164,14412,6400
Maximumsuche,165,2449,6500
Maximumsuche,166,3878,6600
Maximumsuche,167,4311,6700
Maximumsuche,168,4073,6800
