#find-closest-pair.csv
#Veronika
#Zapodobnikova
#
group,number,duration,size
Dichtestes Punktepaar,1,12008,2
Dichtestes Punktepaar,2,5176,3
Dichtestes Punktepaar,3,4172,4
Dichtestes Punktepaar,4,5470,5
Dichtestes Punktepaar,5,7326,6
Dichtestes Punktepaar,6,9693,7
Dichtestes Punktepaar,7,17422,8
Dichtestes Punktepaar,8,11782,9
Dichtestes Punktepaar,9,15267,10
Dichtestes Punktepaar,10,20253,11
Dichtestes Punktepaar,11,24013,12
Dichtestes Punktepaar,12,24047,13
Dichtestes Punktepaar,13,27664,14
Dichtestes Punktepaar,14,30675,15
Dichtestes Punktepaar,15,34604,16
Dichtestes Punktepaar,16,29812,17
Dichtestes Punktepaar,17,24994,18
Dichtestes Punktepaar,18,26177,19
Dichtestes Punktepaar,19,29197,20
Dichtestes Punktepaar,20,31172,21
Dichtestes Punktepaar,21,34065,22
Dichtestes Punktepaar,22,38437,23
Dichtestes Punktepaar,23,41612,24
Dichtestes Punktepaar,24,44446,25
Dichtestes Punktepaar,25,65471,26
Dichtestes Punktepaar,26,50478,27
Dichtestes Punktepaar,27,55829,28
Dichtestes Punktepaar,28,59744,29
Dichtestes Punktepaar,29,62900,30
Dichtestes Punktepaar,30,70557,31
Dichtestes Punktepaar,31,70685,32
Dichtestes Punktepaar,32,76915,33
Dichtestes Punktepaar,33,81021,34
Dichtestes Punktepaar,34,81279,35
Dichtestes Punktepaar,35,84496,36
Dichtestes Punktepaar,36,88828,37
Dichtestes Punktepaar,37,95255,38
Dichtestes Punktepaar,38,99486,39
Dichtestes Punktepaar,39,103253,40
Dichtestes Punktepaar,40,108130,41
Dichtestes Punktepaar,41,114334,42
Dichtestes Punktepaar,42,125288,43
Dichtestes Punktepaar,43,123682,44
Dichtestes Punktepaar,44,131387,45
Dichtestes Punktepaar,45,141465,46
Dichtestes Punktepaar,46,142506,47
Dichtestes Punktepaar,47,148857,48
Dichtestes Punktepaar,48,153025,49
Dichtestes Punktepaar,49,159843,50
Dichtestes Punktepaar,50,165904,51
Dichtestes Punktepaar,51,173901,52
Dichtestes Punktepaar,52,182481,53
Dichtestes Punktepaar,53,224077,54
Dichtestes Punktepaar,54,230020,55
Dichtestes Punktepaar,55,202796,56
Dichtestes Punktepaar,56,207536,57
Dichtestes Punktepaar,57,216707,58
Dichtestes Punktepaar,58,224197,59
Dichtestes Punktepaar,59,232382,60
Dichtestes Punktepaar,60,235939,61
Dichtestes Punktepaar,61,267432,62
Dichtestes Punktepaar,62,253012,63
Dichtestes Punktepaar,63,259700,64
Dichtestes Punktepaar,64,290023,65
Dichtestes Punktepaar,65,299260,66
Dichtestes Punktepaar,66,287579,67
Dichtestes Punktepaar,67,294735,68
Dichtestes Punktepaar,68,329963,69
Dichtestes Punktepaar,69,312683,70
Dichtestes Punktepaar,70,326260,71
Dichtestes Punktepaar,71,175496,72
Dichtestes Punktepaar,72,97500,73
Dichtestes Punktepaar,73,21150,74
Dichtestes Punktepaar,74,18604,75
Dichtestes Punktepaar,75,20462,76
Dichtestes Punktepaar,76,20845,77
Dichtestes Punktepaar,77,20737,78
Dichtestes Punktepaar,78,21391,79
Dichtestes Punktepaar,79,22642,80
Dichtestes Punktepaar,80,20358,81
Dichtestes Punktepaar,81,22509,82
Dichtestes Punktepaar,82,22121,83
Dichtestes Punktepaar,83,67204,84
Dichtestes Punktepaar,84,23467,85
Dichtestes Punktepaar,85,24867,86
Dichtestes Punktepaar,86,24981,87
Dichtestes Punktepaar,87,23615,88
Dichtestes Punktepaar,88,26608,89
Dichtestes Punktepaar,89,24664,90
Dichtestes Punktepaar,90,26075,91
Dichtestes Punktepaar,91,26936,92
Dichtestes Punktepaar,92,28546,93
Dichtestes Punktepaar,93,29682,94
Dichtestes Punktepaar,94,28407,95
Dichtestes Punktepaar,95,31408,96
Dichtestes Punktepaar,96,29951,97
Dichtestes Punktepaar,97,31178,98
Dichtestes Punktepaar,98,31331,99
Dichtestes Punktepaar,99,34289,100
Dichtestes Punktepaar,100,124192,200
Dichtestes Punktepaar,101,278259,300
Dichtestes Punktepaar,102,489571,400
Dichtestes Punktepaar,103,759739,500
Dichtestes Punktepaar,104,651032,600
Dichtestes Punktepaar,105,561551,700
Dichtestes Punktepaar,106,727004,800
Dichtestes Punktepaar,107,779882,900
Dichtestes Punktepaar,108,924059,1000
Dichtestes Punktepaar,109,1174198,1100
Dichtestes Punktepaar,110,2244826,1600
Dichtestes Punktepaar,111,3862838,2100
Dichtestes Punktepaar,112,4706478,2600
Dichtestes Punktepaar,113,6983966,3100
Dichtestes Punktepaar,114,9579608,3600
Dichtestes Punktepaar,115,12261938,4100
Dichtestes Punktepaar,116,15577127,4600
Dichtestes Punktepaar,117,19094826,5100
Dichtestes Punktepaar,118,23205629,5600
Dichtestes Punktepaar,119,28250185,6100
Dichtestes Punktepaar,120,41876375,7100
Dichtestes Punktepaar,121,45497434,8100
Dichtestes Punktepaar,122,58594144,9100
Dichtestes Punktepaar,123,68116449,10100
Dichtestes Punktepaar,124,86887483,11100
Dichtestes Punktepaar,125,104001291,12100
Dichtestes Punktepaar,126,116921292,13100
Dichtestes Punktepaar,127,133879696,14100
Dichtestes Punktepaar,128,155511948,15100
Dichtestes Punktepaar,129,187077709,16100
