#find-max-only.csv
#Veronika
#Zapodobnikova
#
group,number,duration,size
Maximumsuche,1,3550,0
Maximumsuche,2,904,1
Maximumsuche,3,738,2
Maximumsuche,4,796,3
Maximumsuche,5,796,4
Maximumsuche,6,976,5
Maximumsuche,7,926,6
Maximumsuche,8,920,7
Maximumsuche,9,867,8
Maximumsuche,10,1125,9
Maximumsuche,11,2011,10
Maximumsuche,12,1168,11
Maximumsuche,13,885,12
Maximumsuche,14,1250,13
Maximumsuche,15,1232,14
Maximumsuche,16,2100,15
Maximumsuche,17,950,16
Maximumsuche,18,953,17
Maximumsuche,19,978,18
Maximumsuche,20,1000,19
Maximumsuche,21,982,20
Maximumsuche,22,994,21
Maximumsuche,23,993,22
Maximumsuche,24,991,23
Maximumsuche,25,1210,24
Maximumsuche,26,1086,25
Maximumsuche,27,1042,26
Maximumsuche,28,1092,27
Maximumsuche,29,1257,28
Maximumsuche,30,1101,29
Maximumsuche,31,1131,30
Maximumsuche,32,1153,31
Maximumsuche,33,1274,32
Maximumsuche,34,1126,33
Maximumsuche,35,1186,34
Maximumsuche,36,1131,35
Maximumsuche,37,1173,36
Maximumsuche,38,1224,37
Maximumsuche,39,1417,38
Maximumsuche,40,1289,39
Maximumsuche,41,1261,40
Maximumsuche,42,1516,41
Maximumsuche,43,1291,42
Maximumsuche,44,1335,43
Maximumsuche,45,1365,44
Maximumsuche,46,1504,45
Maximumsuche,47,2932,46
Maximumsuche,48,1376,47
Maximumsuche,49,1305,48
Maximumsuche,50,1403,49
Maximumsuche,51,1502,50
Maximumsuche,52,1324,51
Maximumsuche,53,1505,52
Maximumsuche,54,1437,53
Maximumsuche,55,1539,54
Maximumsuche,56,2535,55
Maximumsuche,57,1422,56
Maximumsuche,58,1537,57
Maximumsuche,59,1638,58
Maximumsuche,60,1440,59
Maximumsuche,61,1562,60
Maximumsuche,62,1619,61
Maximumsuche,63,1630,62
Maximumsuche,64,1635,63
Maximumsuche,65,1829,64
Maximumsuche,66,2452,65
Maximumsuche,67,1629,66
Maximumsuche,68,1644,67
Maximumsuche,69,1564,68
Maximumsuche,70,1525,69
Maximumsuche,71,1642,70
