#subset-sum-only-large.csv
#Veronika
#Zapodobnikova
#
group,number,duration,size
Teilsummen - Negativ,1,24476,1
Teilsummen - Negativ,2,7124,1
Teilsummen - Negativ,3,6221,1
Teilsummen - Negativ,4,1489,1
Teilsummen - Negativ,5,769,1
Teilsummen - Negativ,6,972,1
Teilsummen - Negativ,7,463,1
Teilsummen - Negativ,8,297,1
Teilsummen - Negativ,9,1087,1
Teilsummen - Negativ,10,487,1
Teilsummen - Negativ,11,1203,2
Teilsummen - Negativ,12,606,2
Teilsummen - Negativ,13,666,2
Teilsummen - Negativ,14,434,2
Teilsummen - Negativ,15,406,2
Teilsummen - Negativ,16,490,2
Teilsummen - Negativ,17,364,2
Teilsummen - Negativ,18,1207,2
Teilsummen - Negativ,19,459,2
Teilsummen - Negativ,20,820,2
Teilsummen - Negativ,21,500,3
Teilsummen - Negativ,22,3295,3
Teilsummen - Negativ,23,1647,3
Teilsummen - Negativ,24,1156,3
Teilsummen - Negativ,25,2537,3
Teilsummen - Negativ,26,1551,3
Teilsummen - Negativ,27,1815,3
Teilsummen - Negativ,28,1306,3
Teilsummen - Negativ,29,2393,3
Teilsummen - Negativ,30,1892,3
Teilsummen - Negativ,31,645,4
Teilsummen - Positiv,32,1172,4
Teilsummen - Negativ,33,597,4
Teilsummen - Negativ,34,686,4
Teilsummen - Negativ,35,4569,4
Teilsummen - Negativ,36,2524,4
Teilsummen - Negativ,37,1860,4
Teilsummen - Negativ,38,723,4
Teilsummen - Negativ,39,999,4
Teilsummen - Negativ,40,2146,4
Teilsummen - Negativ,41,3331,5
Teilsummen - Negativ,42,21612,5
Teilsummen - Negativ,43,718,5
Teilsummen - Negativ,44,749,5
Teilsummen - Negativ,45,2929,5
Teilsummen - Negativ,46,3081,5
Teilsummen - Negativ,47,5234,5
Teilsummen - Negativ,48,3862,5
Teilsummen - Negativ,49,602,5
Teilsummen - Negativ,50,505,5
Teilsummen - Negativ,51,6458,6
Teilsummen - Negativ,52,572,6
Teilsummen - Negativ,53,24680,6
Teilsummen - Negativ,54,10322,6
Teilsummen - Negativ,55,2172,6
Teilsummen - Positiv,56,5241,6
Teilsummen - Negativ,57,9322,6
Teilsummen - Negativ,58,11300,6
Teilsummen - Negativ,59,43663,6
Teilsummen - Negativ,60,1112,6
Teilsummen - Negativ,61,12509,7
Teilsummen - Negativ,62,13819,7
Teilsummen - Negativ,63,2085,7
Teilsummen - Positiv,64,817,7
Teilsummen - Negativ,65,732,7
Teilsummen - Negativ,66,1464,7
Teilsummen - Negativ,67,1613,7
Teilsummen - Negativ,68,2318,7
Teilsummen - Negativ,69,686,7
Teilsummen - Negativ,70,723,7
Teilsummen - Negativ,71,677,8
Teilsummen - Positiv,72,1948,8
Teilsummen - Negativ,73,779,8
Teilsummen - Negativ,74,704,8
Teilsummen - Negativ,75,707,8
Teilsummen - Negativ,76,1029,8
Teilsummen - Negativ,77,4662,8
Teilsummen - Negativ,78,1369,8
Teilsummen - Positiv,79,2229,8
Teilsummen - Negativ,80,3683,8
Teilsummen - Positiv,81,2602,9
Teilsummen - Positiv,82,1224,9
Teilsummen - Negativ,83,872,9
Teilsummen - Negativ,84,741,9
Teilsummen - Negativ,85,766,9
Teilsummen - Positiv,86,1098,9
Teilsummen - Positiv,87,1218,9
Teilsummen - Positiv,88,1185,9
Teilsummen - Positiv,89,6293,9
Teilsummen - Negativ,90,916,9
Teilsummen - Positiv,91,12168,10
Teilsummen - Positiv,92,1356,10
Teilsummen - Negativ,93,10812,10
Teilsummen - Negativ,94,881,10
Teilsummen - Negativ,95,792,10
Teilsummen - Negativ,96,1071,10
Teilsummen - Negativ,97,977,10
Teilsummen - Negativ,98,910,10
Teilsummen - Negativ,99,760,10
Teilsummen - Negativ,100,3041,10
Teilsummen - Positiv,101,1846,11
Teilsummen - Negativ,102,995,11
Teilsummen - Negativ,103,906,11
Teilsummen - Positiv,104,4066,11
Teilsummen - Positiv,105,1638,11
Teilsummen - Positiv,106,2203,11
Teilsummen - Positiv,107,1241,11
Teilsummen - Positiv,108,1404,11
Teilsummen - Positiv,109,1000,11
Teilsummen - Positiv,110,2169,11
Teilsummen - Positiv,111,1481,12
Teilsummen - Positiv,112,16319,12
Teilsummen - Positiv,113,2256,12
Teilsummen - Positiv,114,2478,12
Teilsummen - Negativ,115,1003,12
Teilsummen - Negativ,116,927,12
Teilsummen - Negativ,117,890,12
Teilsummen - Negativ,118,954,12
Teilsummen - Negativ,119,921,12
Teilsummen - Positiv,120,2737,12
Teilsummen - Negativ,121,1257,13
Teilsummen - Positiv,122,2675,13
Teilsummen - Positiv,123,2158,13
Teilsummen - Negativ,124,1076,13
Teilsummen - Negativ,125,974,13
Teilsummen - Negativ,126,1109,13
Teilsummen - Negativ,127,965,13
Teilsummen - Negativ,128,3238,13
Teilsummen - Positiv,129,3090,13
Teilsummen - Negativ,130,50409,13
Teilsummen - Negativ,131,1074,14
Teilsummen - Negativ,132,98201,14
Teilsummen - Positiv,133,2024,14
Teilsummen - Negativ,134,1053,14
Teilsummen - Negativ,135,1056,14
Teilsummen - Positiv,136,1608,14
Teilsummen - Positiv,137,2323,14
Teilsummen - Negativ,138,1062,14
Teilsummen - Negativ,139,3267,14
Teilsummen - Positiv,140,13842,14
Teilsummen - Negativ,141,1218,15
Teilsummen - Positiv,142,1442,15
Teilsummen - Negativ,143,1061,15
Teilsummen - Negativ,144,1053,15
Teilsummen - Positiv,145,1482,15
Teilsummen - Positiv,146,1273,15
Teilsummen - Negativ,147,1075,15
Teilsummen - Positiv,148,5246,15
Teilsummen - Positiv,149,29012,15
Teilsummen - Positiv,150,2019,15
Teilsummen - Positiv,151,1446,16
Teilsummen - Negativ,152,1261,16
Teilsummen - Negativ,153,1118,16
Teilsummen - Positiv,154,4746,16
Teilsummen - Positiv,155,1696,16
Teilsummen - Negativ,156,1102,16
Teilsummen - Negativ,157,1140,16
Teilsummen - Negativ,158,1074,16
Teilsummen - Negativ,159,404019,16
Teilsummen - Positiv,160,2877,16
Teilsummen - Negativ,161,1584,17
Teilsummen - Positiv,162,3642,17
Teilsummen - Positiv,163,3850,17
Teilsummen - Negativ,164,1946,17
Teilsummen - Negativ,165,2150,17
Teilsummen - Negativ,166,1998,17
Teilsummen - Negativ,167,1855,17
Teilsummen - Positiv,168,3857,17
Teilsummen - Negativ,169,2109,17
Teilsummen - Negativ,170,1987,17
Teilsummen - Negativ,171,2337,18
Teilsummen - Negativ,172,1901,18
Teilsummen - Negativ,173,1727,18
Teilsummen - Positiv,174,12307,18
Teilsummen - Negativ,175,1713,18
Teilsummen - Positiv,176,4137,18
Teilsummen - Positiv,177,3347,18
Teilsummen - Negativ,178,1695679,18
Teilsummen - Negativ,179,4573,18
Teilsummen - Negativ,180,2114,18
Teilsummen - Positiv,181,1634,19
Teilsummen - Negativ,182,1492,19
Teilsummen - Negativ,183,1363,19
Teilsummen - Positiv,184,1714,19
Teilsummen - Negativ,185,1281,19
Teilsummen - Negativ,186,1275,19
Teilsummen - Negativ,187,1266,19
Teilsummen - Positiv,188,3225,19
Teilsummen - Negativ,189,1243,19
Teilsummen - Positiv,190,8862,19
Teilsummen - Positiv,191,6149,20
Teilsummen - Positiv,192,2044,20
Teilsummen - Positiv,193,4984,20
Teilsummen - Positiv,194,2118,20
Teilsummen - Negativ,195,1296,20
Teilsummen - Negativ,196,1243,20
Teilsummen - Negativ,197,1288,20
Teilsummen - Negativ,198,14985,20
Teilsummen - Positiv,199,4621,20
Teilsummen - Positiv,200,104448,20
Teilsummen - Negativ,201,2276,21
Teilsummen - Positiv,202,2596,21
Teilsummen - Positiv,203,2309,21
Teilsummen - Positiv,204,7305,21
Teilsummen - Positiv,205,2752,21
Teilsummen - Positiv,206,3056,21
Teilsummen - Positiv,207,7866,21
Teilsummen - Negativ,208,9314,21
Teilsummen - Negativ,209,291,21
Teilsummen - Positiv,210,497,21
Teilsummen - Positiv,211,549,22
