#subset-sum-only.csv
#Veronika
#Zapodobnikova
#
group,number,duration,size
Teilsummen - Negativ,1,14434,1
Teilsummen - Negativ,2,7674,1
Teilsummen - Negativ,3,478,1
Teilsummen - Negativ,4,543,1
Teilsummen - Negativ,5,341,1
Teilsummen - Negativ,6,429,1
Teilsummen - Negativ,7,177,1
Teilsummen - Negativ,8,208,1
Teilsummen - Negativ,9,290,1
Teilsummen - Negativ,10,277,1
Teilsummen - Negativ,11,13039,2
Teilsummen - Negativ,12,16059,2
Teilsummen - Negativ,13,886,2
Teilsummen - Negativ,14,713,2
Teilsummen - Negativ,15,289,2
Teilsummen - Negativ,16,1029,2
Teilsummen - Negativ,17,176,2
Teilsummen - Negativ,18,17049,2
Teilsummen - Negativ,19,379,2
Teilsummen - Negativ,20,27516,2
Teilsummen - Negativ,21,581,3
Teilsummen - Negativ,22,784,3
Teilsummen - Negativ,23,377,3
Teilsummen - Negativ,24,251,3
Teilsummen - Negativ,25,655,3
Teilsummen - Negativ,26,411,3
Teilsummen - Negativ,27,802,3
Teilsummen - Negativ,28,863,3
Teilsummen - Negativ,29,677,3
Teilsummen - Negativ,30,377,3
Teilsummen - Negativ,31,258,4
Teilsummen - Positiv,32,285,4
Teilsummen - Negativ,33,327,4
Teilsummen - Negativ,34,283,4
Teilsummen - Negativ,35,604,4
Teilsummen - Negativ,36,669,4
Teilsummen - Negativ,37,397,4
Teilsummen - Negativ,38,321,4
Teilsummen - Negativ,39,498,4
Teilsummen - Negativ,40,695,4
Teilsummen - Negativ,41,577,5
Teilsummen - Negativ,42,579,5
Teilsummen - Negativ,43,284,5
Teilsummen - Negativ,44,467,5
Teilsummen - Negativ,45,432,5
Teilsummen - Negativ,46,779,5
Teilsummen - Negativ,47,436,5
Teilsummen - Negativ,48,345,5
Teilsummen - Negativ,49,382,5
Teilsummen - Negativ,50,251,5
Teilsummen - Negativ,51,1201,6
Teilsummen - Negativ,52,367,6
Teilsummen - Negativ,53,2182,6
Teilsummen - Negativ,54,1357,6
Teilsummen - Negativ,55,335,6
Teilsummen - Positiv,56,590,6
Teilsummen - Negativ,57,865,6
Teilsummen - Negativ,58,848,6
Teilsummen - Negativ,59,869,6
Teilsummen - Negativ,60,263,6
