#medium-kruskal.csv
#Veronika
#Zapodobnikova
#
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Sparse - Kruskal,1,2114433,46|47|48|49|50,5,49-48|47-46|50-49|48-47|0-0
Medium - Sparse - Kruskal,2,325978,37|38|39|40|41|42|43|44|45,9,40-39|41-40|42-41|43-42|38-37|44-43|39-38|45-44|0-0
Medium - Sparse - Kruskal,3,259298,37|38|39|40|41|42|43|44|45|46|47|48|49|50,14,40-39|41-40|42-41|43-42|38-37|49-48|47-46|50-49|44-43|39-38|45-44|46-45|48-47|0-0
Medium - Sparse - Kruskal,4,247189,28|29|30|31|32|33|34|35|36,9,30-29|33-32|31-30|32-31|34-33|29-28|35-34|36-35|0-0
Medium - Sparse - Kruskal,5,313724,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,18,40-39|30-29|33-32|41-40|31-30|37-36|42-41|43-42|32-31|38-37|34-33|29-28|44-43|39-38|45-44|35-34|36-35|0-0
Medium - Sparse - Kruskal,6,302458,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,40-39|30-29|33-32|41-40|31-30|37-36|42-41|43-42|32-31|38-37|49-48|34-33|47-46|50-49|29-28|44-43|39-38|45-44|35-34|36-35|46-45|48-47|0-0
Medium - Sparse - Kruskal,7,164538,19|20|21|22|23|24|25|26|27,9,26-25|22-21|27-26|25-24|20-19|24-23|21-20|23-22|0-0
Medium - Sparse - Kruskal,8,167458,19|20|21|22|23|24|25|26|27|46|47|48|49|50,14,46-21|26-25|22-21|27-26|47-22|25-24|48-23|20-19|49-48|24-23|21-20|50-25|23-22|0-0
Medium - Sparse - Kruskal,9,162991,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,18,40-39|26-25|41-40|22-21|27-26|42-41|43-42|25-24|20-19|45-20|38-37|44-19|24-23|21-20|23-22|44-43|39-38|0-0
Medium - Sparse - Kruskal,10,178615,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,40-39|46-21|26-25|41-40|22-21|27-26|42-41|43-42|47-22|25-24|48-23|20-19|45-20|38-37|44-19|49-48|24-23|21-20|50-25|23-22|44-43|39-38|0-0
