#small-prim.csv
#Veronika
#Zapodobnikova
#
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Small - Sparse - Prim,1,1477001,6,1,6-1
Small - Sparse - Prim,2,57351,5,1,5-1
Small - Sparse - Prim,3,94643,5|6,2,5-1|6-5
Small - Sparse - Prim,4,40867,4,1,4-1
Small - Sparse - Prim,5,54537,4|5,2,4-1|5-4
Small - Sparse - Prim,6,89725,4|5|6,3,4-1|5-4|6-5
Small - Sparse - Prim,7,32884,3,1,3-1
Small - Sparse - Prim,8,57329,3|6,2,3-1|6-3
Small - Sparse - Prim,9,86667,3|5|6,3,3-1|5-6|6-3
Small - Sparse - Prim,10,44912,3|4,2,3-1|4-3
Small - Sparse - Prim,11,75730,3|4|6,3,3-1|4-3|6-3
Small - Sparse - Prim,12,78866,3|4|5,3,3-1|4-3|5-4
Small - Sparse - Prim,13,98095,3|4|5|6,4,3-1|4-3|5-6|6-3
Small - Sparse - Prim,14,29698,2,1,2-1
Small - Sparse - Prim,15,53626,2|5,2,2-1|5-2
Small - Sparse - Prim,16,70428,2|5|6,3,2-1|5-2|6-5
Small - Sparse - Prim,17,67840,2|4|5,3,2-1|4-5|5-2
Small - Sparse - Prim,18,149354,2|4|5|6,4,2-1|4-5|5-2|6-5
Small - Sparse - Prim,19,85909,2|3,2,2-1|3-2
Small - Sparse - Prim,20,106137,2|3|6,3,2-1|3-2|6-3
Small - Sparse - Prim,21,99782,2|3|5,3,2-1|3-2|5-2
Small - Sparse - Prim,22,152265,2|3|5|6,4,2-1|3-2|5-2|6-3
Small - Sparse - Prim,23,87471,2|3|4,3,2-1|3-2|4-3
Small - Sparse - Prim,24,169596,2|3|4|6,4,2-1|3-2|4-3|6-3
Small - Sparse - Prim,25,149849,2|3|4|5,4,2-1|3-2|4-3|5-2
Small - Sparse - Prim,26,121735,2|3|4|5|6,5,2-1|3-2|4-3|5-2|6-3
Small - Sparse - Prim,27,27165,1,1,1-1
Small - Sparse - Prim,28,45710,1|6,2,1-1|6-1
Small - Sparse - Prim,29,51197,1|5|6,3,1-1|5-6|6-1
Small - Sparse - Prim,30,37665,1|4,2,1-1|4-1
Small - Sparse - Prim,31,61148,1|4|6,3,1-1|4-1|6-1
Small - Sparse - Prim,32,63432,1|4|5,3,1-1|4-1|5-4
Small - Sparse - Prim,33,71220,1|4|5|6,4,1-1|4-1|5-6|6-1
Small - Sparse - Prim,34,88774,1|3|6,3,1-1|3-6|6-1
Small - Sparse - Prim,35,72647,1|3|5|6,4,1-1|3-6|5-6|6-1
Small - Sparse - Prim,36,77792,1|3|4,3,1-1|3-4|4-1
