1,Pre Order,1,9395,9395
2,Pre Order,1,28247,28247
3,Pre Order,3,5850|15170,5850|15170
4,Pre Order,3,47023|23003,47023|23003
5,Pre Order,3,34815|35374|6475,35374|34815|6475
6,Pre Order,7,5133|46044|10994,5133|46044|10994
7,Pre Order,7,849|12975|4538|33460,12975|849|4538|33460
8,Pre Order,15,4512|49716|48079|11854,4512|49716|48079|11854
9,Pre Order,7,13792|18857|36791|47914|2800,36791|13792|18857|47914|2800
10,Pre Order,31,33205|45525|19526|42625|187,33205|45525|19526|42625|187
11,Pre Order,7,9496|45883|41292|40086|1148|40050,41292|9496|45883|1148|40086|40050
12,Pre Order,63,5206|35526|16817|48396|29460|35013,5206|35526|16817|48396|29460|35013
13,Pre Order,7,38272|20565|4183|3184|8138|41570|21729,3184|20565|38272|4183|41570|8138|21729
14,Pre Order,63,29023|14986|9922|282|23086|9589|16744,14986|29023|9922|282|23086|9589|16744
15,Pre Order,15,16136|43744|22126|48074|5611|8016|15434|32256,48074|43744|16136|22126|8016|5611|15434|32256
16,Pre Order,127,22129|13922|46107|20958|48712|7390|43661|10602,13922|22129|46107|20958|48712|7390|43661|10602
17,Pre Order,15,21154|12080|9011|19076|17365|12125|42543|26382|49389,17365|12080|21154|9011|19076|42543|12125|26382|49389
18,Pre Order,127,7277|33839|11937|29695|15155|38508|21388|26970|46871,11937|7277|33839|29695|15155|38508|21388|26970|46871
19,Pre Order,15,8749|49763|29252|9749|6790|20738|28987|28393|49037|30534,6790|49763|8749|29252|9749|28393|20738|28987|49037|30534
20,Pre Order,127,47494|9002|37672|48008|3893|247|26538|28913|49617|49907,37672|47494|9002|3893|48008|247|26538|28913|49617|49907
21,Pre Order,31,45522|25400|2861|41424|21204|5213|701|41649|13522|34951|10343|4673|47000|36487|46558|27428|23585|35345|42662|42178,34951|21204|25400|45522|2861|41424|701|5213|41649|13522|46558|4673|10343|47000|36487|35345|27428|23585|42662|42178
22,Pre Order,511,15333|4962|2672|46007|31092|8055|871|9609|44124|7976|31740|7480|765|19924|22455|32009|30142|38415|48375|9746,9609|4962|15333|2672|46007|31092|8055|871|7480|44124|7976|31740|19924|765|22455|32009|30142|38415|48375|9746
23,Pre Order,31,16836|36546|39783|42286|34282|26131|37758|5078|34225|48013|40257|5462|21066|42538|31299|18394|3322|16295|24328|41503|13611|7546|25636|4735|39131|1458|8056|5915|36073|23629,31299|37758|39783|16836|36546|34282|42286|26131|40257|34225|5078|48013|21066|5462|42538|25636|24328|3322|18394|16295|13611|41503|7546|8056|39131|4735|1458|36073|5915|23629
24,Pre Order,511,24955|47510|3586|41412|43172|1803|38169|35601|14287|46626|17516|24407|13313|25650|34294|31356|18375|25236|165|30509|36326|34308|21611|3994|31655|12749|35262|42197|20674|34357,13313|41412|24955|47510|3586|1803|43172|38169|35601|14287|46626|17516|24407|30509|25650|34294|31356|18375|25236|165|21611|36326|34308|31655|3994|12749|35262|42197|20674|34357
