#pre-order-only.csv
#Veronika
#Zapodobnikova
#
group,number,duration,treeSize,reconstructedTree
Pre Order,1,11322,1,9395
Pre Order,2,2411,1,28247
Pre Order,3,2079,2,5850|0|15170
Pre Order,4,2395,2,47023|0|23003
Pre Order,5,2345,3,35374|34815|6475
Pre Order,6,2432,3,5133|0|46044|0|0|0|10994
Pre Order,7,2711,4,12975|849|4538|0|0|0|33460
Pre Order,8,2706,4,4512|0|49716|0|0|0|48079|0|0|0|0|0|0|0|11854
Pre Order,9,3150,5,36791|13792|47914|0|18857|0|2800
Pre Order,10,3242,5,33205|0|45525|0|0|0|19526|0|0|0|0|0|0|0|42625|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|187
Pre Order,11,3830,6,41292|9496|1148|0|45883|40086|40050
Pre Order,12,3666,6,5206|0|35526|0|0|0|16817|0|0|0|0|0|0|0|48396|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29460|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|35013
Pre Order,13,4191,7,3184|20565|41570|38272|4183|8138|21729
Pre Order,14,4042,7,14986|29023|9922|0|0|0|282|0|0|0|0|0|0|0|23086|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9589|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16744
Pre Order,15,5541,8,48074|43744|8016|16136|22126|5611|15434|0|0|0|0|0|0|0|32256
Pre Order,16,4081,8,13922|22129|46107|0|0|0|20958|0|0|0|0|0|0|0|48712|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7390|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|43661|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10602
Pre Order,17,4810,9,17365|12080|42543|21154|9011|12125|26382|0|0|0|19076|0|0|0|49389
Pre Order,18,4828,9,11937|7277|29695|0|33839|0|15155|0|0|0|0|0|0|0|38508|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21388|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|26970|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|46871
Pre Order,19,5438,10,6790|49763|28393|8749|29252|20738|49037|0|0|0|9749|0|28987|0|30534
Pre Order,20,5186,10,37672|47494|3893|0|9002|48008|247|0|0|0|0|0|0|0|26538|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|28913|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|49617|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|49907
Pre Order,21,11532,20,34951|21204|46558|25400|701|4673|35345|45522|2861|5213|41649|10343|47000|27428|42662|0|0|0|41424|0|0|0|13522|0|0|0|36487|0|23585|0|42178
