#abgabe.csv
#Veronika
#Zapodobnikova
#01328458
group,number,duration,numberOfKeys,keyGroup,averageDurationLookupTrie,averageDurationLookupTree,averageDurationLookupList
Char At Test,1,2365,0,null,0,0,0
Char At Test,2,2604,0,null,0,0,0
Char At Test,3,2046,0,null,0,0,0
Char At Test,4,1560,0,null,0,0,0
Char At Test,5,1441,0,null,0,0,0
Char At Test,6,1745,0,null,0,0,0
Char At Test,7,1264,0,null,0,0,0
Char At Test,8,1297,0,null,0,0,0
Char At Test,9,1406,0,null,0,0,0
Char At Test,10,1157,0,null,0,0,0
Char At Test,11,1499,0,null,0,0,0
Char At Test,12,11596,0,null,0,0,0
Char At Test,13,7439,0,null,0,0,0
Char At Test,14,2733,0,null,0,0,0
Char At Test,15,2289,0,null,0,0,0
Char At Test,16,1994,0,null,0,0,0
Char At Test,17,1628,0,null,0,0,0
Char At Test,18,1713,0,null,0,0,0
Char At Test,19,1576,0,null,0,0,0
Char At Test,20,1448,0,null,0,0,0
Char At Test,21,1190,0,null,0,0,0
Char At Test,22,1260,0,null,0,0,0
Char At Test,23,1968,0,null,0,0,0
Char At Test,24,1744,0,null,0,0,0
Char At Test,25,2210,0,null,0,0,0
Char At Test,26,1393,0,null,0,0,0
Char At Test,27,1332,0,null,0,0,0
Char At Test,28,1365,0,null,0,0,0
Char At Test,29,1268,0,null,0,0,0
Char At Test,30,1253,0,null,0,0,0
Char At Test,31,809,0,null,0,0,0
Char At Test,32,1392,0,null,0,0,0
Lookup Key Test,33,5121,0,null,0,0,0
Lookup Key Test,34,3919,0,null,0,0,0
Lookup Key Test,35,9746,0,null,0,0,0
Lookup Key Test,36,3805,0,null,0,0,0
Lookup Key Test,37,2020,0,null,0,0,0
Insert Key Test,38,2728,0,null,0,0,0
Insert Key Test,39,2484,0,null,0,0,0
Insert Key Test,40,9111,0,null,0,0,0
Insert Key Test,41,6813,0,null,0,0,0
Insert Key Test,42,8260,0,null,0,0,0
Insert and Lookup,43,1616387,10,shuffled,2208,2830,1631
Insert and Lookup,44,2091394,20,shuffled,3102,4858,1450
Insert and Lookup,45,2844423,30,shuffled,3093,5736,1465
Insert and Lookup,46,4552597,40,shuffled,2546,2113,1896
Insert and Lookup,47,2585760,50,shuffled,2291,731,1675
Insert and Lookup,48,2180400,60,shuffled,1814,634,1684
Insert and Lookup,49,2333891,70,shuffled,1776,640,1968
Insert and Lookup,50,2639412,80,shuffled,1613,676,2517
Insert and Lookup,51,2259877,90,shuffled,1533,727,909
Insert and Lookup,52,1762121,100,shuffled,1235,536,629
Insert and Lookup,53,1703560,110,shuffled,1266,578,785
Insert and Lookup,54,1424073,120,shuffled,994,464,616
Insert and Lookup,55,1453967,130,shuffled,532,458,607
Insert and Lookup,56,1471929,140,shuffled,328,523,636
Insert and Lookup,57,1533042,150,shuffled,330,292,850
Insert and Lookup,58,1591527,160,shuffled,314,231,699
Insert and Lookup,59,1591014,170,shuffled,348,268,723
Insert and Lookup,60,1643859,180,shuffled,335,277,746
Insert and Lookup,61,1730600,190,shuffled,334,249,778
Insert and Lookup,62,1656770,200,shuffled,239,194,632
Insert and Lookup,63,1507315,210,shuffled,179,162,202
Insert and Lookup,64,1675553,220,shuffled,189,163,186
Insert and Lookup,65,1642077,230,shuffled,197,148,186
Insert and Lookup,66,1817644,240,shuffled,203,219,302
Insert and Lookup,67,1814673,250,shuffled,179,125,242
Insert and Lookup,68,2011281,260,shuffled,211,139,264
Insert and Lookup,69,1798985,270,shuffled,197,113,218
Insert and Lookup,70,1896803,280,shuffled,186,110,215
Insert and Lookup,71,2036105,290,shuffled,206,130,250
Insert and Lookup,72,2091980,300,shuffled,196,124,240
Insert and Lookup,73,2222215,310,shuffled,192,143,302
Insert and Lookup,74,2095959,320,shuffled,179,154,282
Insert and Lookup,75,2152540,330,shuffled,179,117,260
Insert and Lookup,76,6572555,340,shuffled,215,164,403
Insert and Lookup,77,2769281,350,shuffled,355,189,460
Insert and Lookup,78,1675756,360,shuffled,168,131,264
Insert and Lookup,79,1670633,370,shuffled,157,127,255
Insert and Lookup,80,1663826,380,shuffled,170,108,283
Insert and Lookup,81,1859498,390,shuffled,164,173,301
Insert and Lookup,82,1699805,400,shuffled,170,108,358
Insert and Lookup,83,1684796,410,shuffled,159,134,314
Insert and Lookup,84,1629999,420,shuffled,168,93,301
Insert and Lookup,85,1813791,430,shuffled,155,129,333
Insert and Lookup,86,1793671,440,shuffled,169,125,319
Insert and Lookup,87,1722293,450,shuffled,173,105,292
Insert and Lookup,88,1657239,460,shuffled,154,109,261
Insert and Lookup,89,1829267,470,shuffled,172,120,319
Insert and Lookup,90,1763819,480,shuffled,152,91,270
Insert and Lookup,91,2081804,490,shuffled,66,109,549
Insert and Lookup,92,2055422,500,shuffled,67,119,331
Insert and Lookup,93,1869067,510,shuffled,67,101,307
Insert and Lookup,94,1899250,520,shuffled,67,91,303
Insert and Lookup,95,2010242,530,shuffled,68,99,352
Insert and Lookup,96,2301685,540,shuffled,67,130,413
Insert and Lookup,97,2780189,550,shuffled,70,112,414
Insert and Lookup,98,2890999,560,shuffled,69,125,414
Insert and Lookup,99,2607394,570,shuffled,70,112,395
Insert and Lookup,100,2608071,580,shuffled,79,109,384
Insert and Lookup,101,2708493,590,shuffled,69,106,366
Insert and Lookup,102,2777631,600,shuffled,71,115,435
Insert and Lookup,103,2951985,610,shuffled,71,109,474
Insert and Lookup,104,3028907,620,shuffled,72,120,482
Insert and Lookup,105,2820960,630,shuffled,72,111,458
Insert and Lookup,106,2823470,640,shuffled,71,119,426
Insert and Lookup,107,2860488,650,shuffled,69,110,464
Insert and Lookup,108,3282156,660,shuffled,71,110,582
Insert and Lookup,109,2909631,670,shuffled,71,112,435
Insert and Lookup,110,3047769,680,shuffled,71,106,490
Insert and Lookup,111,3124509,690,shuffled,75,105,463
Insert and Lookup,112,3321092,700,shuffled,83,119,563
Insert and Lookup,113,3507017,710,shuffled,76,167,531
